מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
754721- דאר אל חכמה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,רים תמימי,ז,1,רגיל,22,0,0,0%,0,0%,0,0%
754721- דאר אל חכמה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,רים תמימי,ז,2,רגיל,18,0,0,0%,0,0%,0,0%
754721- דאר אל חכמה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,רים תמימי,ז,3,רגיל,22,0,0,0%,0,0%,0,0%
757583- בית ספר סמירא מיס,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,ראנייה גועבה,ז,1,רגיל,23,0,0,0%,0,0%,0,0%
757583- בית ספר סמירא מיס,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,ראנייה גועבה,ז,2,רגיל,25,0,0,0%,0,0%,0,0%
757583- בית ספר סמירא מיס,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,ראנייה גועבה,ז,3,רגיל,26,0,0,0%,0,0%,0,0%
758227- יסודי אלאימאן בנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מואיד נאצר,ז,1,רגיל,28,0,0,0%,0,0%,0,0%
758227- יסודי אלאימאן בנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מואיד נאצר,ז,2,רגיל,25,0,0,0%,0,0%,0,0%
758227- יסודי אלאימאן בנים,ירושלים,ממלכתי,העיר ירושלים,ערבי,מחמד אזברגה,מואיד נאצר,ז,3,רגיל,28,0,0,0%,0,0%,0,0%
759134- סדנת שילוב יובלים,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,ימימה ספרא,ז,1,רגיל,6,0,0,0%,0,0%,0,0%
771089- התיכון הניסויי,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גיל שלה,ז,4,מיוחד,6,0,0,0%,0,0%,0,0%
