מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
141549- אור תורה סטון לבנות,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,חנה עסיס,ז,4,רגיל,32,1,32,100%,31,97%,30,94%
141754- ישיבה תיכ' תורה ומדע,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,רפאל עמיחי בובליל,ז,1,רגיל,33,1,33,100%,29,88%,28,85%
144220- תורני נסויי הרטמן,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,שאול דוד,ז,1,רגיל,31,1,31,100%,12,39%,12,39%
144220- תורני נסויי הרטמן,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,שאול דוד,ז,2,רגיל,29,1,29,100%,9,31%,7,24%
144220- תורני נסויי הרטמן,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,שאול דוד,ז,3,מיוחד,7,1,7,100%,0,0%,0,0%
144329- תיכון מכבים רעות,מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רוני אהרון פולט,ז,4,רגיל,34,1,25,74%,25,74%,24,71%
144329- תיכון מכבים רעות,מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רוני אהרון פולט,ז,3,רגיל,33,1,26,79%,22,67%,22,67%
144329- תיכון מכבים רעות,מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רוני אהרון פולט,ז,5,רגיל,34,1,23,68%,22,65%,22,65%
144329- תיכון מכבים רעות,מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רוני אהרון פולט,ז,1,רגיל,31,1,25,81%,16,52%,16,52%
144329- תיכון מכבים רעות,מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רוני אהרון פולט,ז,2,רגיל,33,1,3,9%,3,9%,2,6%
144329- תיכון מכבים רעות,מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רוני אהרון פולט,ז,6,מיוחד,9,1,3,33%,0,0%,0,0%
144428- ישיבת צביה מ.אדומים,מעלה אדומים,ממלכתי דתי,ירושלים,יהודי,יעקב עמר,יוסף מנחם פרנקל,ז,3,רגיל,30,1,30,100%,14,47%,14,47%
144592- קדמה ירושלים,ירושלים,ממלכתי,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,מיכל חדאד,ז,1,רגיל,18,1,18,100%,17,94%,17,94%
144600- ישיבה שעלי תורה,בית שמש,ממלכתי דתי,ירושלים,יהודי,תמר אודס,תומר זאבי,ז,1,רגיל,29,1,29,100%,28,97%,25,86%
144600- ישיבה שעלי תורה,בית שמש,ממלכתי דתי,ירושלים,יהודי,תמר אודס,תומר זאבי,ז,3,רגיל,26,1,26,100%,21,81%,21,81%
144600- ישיבה שעלי תורה,בית שמש,ממלכתי דתי,ירושלים,יהודי,תמר אודס,תומר זאבי,ז,4,רגיל,25,1,25,100%,14,56%,14,56%
"144675- ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,ז,2,רגיל,35,1,35,100%,35,100%,35,100%
"144675- ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,ז,5,רגיל,37,1,36,97%,36,97%,36,97%
"144675- ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,ז,4,רגיל,35,1,35,100%,34,97%,33,94%
"144675- ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,ז,1,רגיל,38,1,37,97%,36,95%,35,92%
"144675- ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,ז,6,רגיל,37,1,37,100%,35,95%,34,92%
"144675- ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,ז,3,מיוחד,16,1,1,6%,1,6%,0,0%
144683- עירוני א',מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,דביר שלומי,ז,1,רגיל,38,1,38,100%,38,100%,37,97%
144683- עירוני א',מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,דביר שלומי,ז,4,רגיל,36,1,36,100%,36,100%,33,92%
144683- עירוני א',מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,דביר שלומי,ז,7,רגיל,27,1,27,100%,27,100%,27,100%
144683- עירוני א',מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,דביר שלומי,ז,2,רגיל,40,1,40,100%,38,95%,38,95%
144683- עירוני א',מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,דביר שלומי,ז,5,רגיל,40,1,40,100%,37,93%,36,90%
144683- עירוני א',מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,דביר שלומי,ז,6,רגיל,40,1,40,100%,36,90%,35,88%
144691- ישיבת נעם,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,אבישי סגל,ז,3,רגיל,23,1,23,100%,19,83%,18,78%
144691- ישיבת נעם,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,אבישי סגל,ז,1,רגיל,25,1,25,100%,2,8%,0,0%
144691- ישיבת נעם,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,אריה משה מארק,אבישי סגל,ז,2,רגיל,25,1,25,100%,1,4%,0,0%
"144717- אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,סגלית נחום,ז,5,רגיל,27,1,27,100%,27,100%,27,100%
"144717- אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,סגלית נחום,ז,1,רגיל,30,1,28,93%,28,93%,27,90%
"144717- אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,סגלית נחום,ז,2,רגיל,30,1,23,77%,21,70%,21,70%
"144717- אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ממלכתי דתי,ירושלים,יהודי,תמר אודס,סגלית נחום,ז,4,רגיל,30,1,23,77%,12,40%,12,40%
"144741- ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,שרית סנואני,ז,5,רגיל,32,1,32,100%,30,94%,29,91%
"144741- ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,שרית סנואני,ז,6,רגיל,35,1,35,100%,32,91%,31,89%
"144741- ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,שרית סנואני,ז,1,רגיל,36,1,36,100%,32,89%,31,86%
"144741- ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,שרית סנואני,ז,2,רגיל,34,1,34,100%,29,85%,26,76%
"144741- ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,שרית סנואני,ז,4,רגיל,33,1,33,100%,25,76%,25,76%
"144741- ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ממלכתי,ירושלים,יהודי,ציפי יעקב,שרית סנואני,ז,3,מיוחד,14,1,1,7%,1,7%,1,7%
"144758- ישיבת בנ""ע פסגת זאב",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,שרה טוויל,רענן-יוסף שרמן,ז,1,רגיל,33,1,18,55%,3,9%,0,0%
"144766- ישיבת בנ""ע נר תמיד חשמונאים",מטה בנימין,ממלכתי דתי,ירושלים,יהודי,תמר אודס,איתמר ליברמן,ז,3,רגיל,36,1,36,100%,12,33%,11,31%
"144766- ישיבת בנ""ע נר תמיד חשמונאים",מטה בנימין,ממלכתי דתי,ירושלים,יהודי,תמר אודס,איתמר ליברמן,ז,4,רגיל,24,1,24,100%,3,13%,3,13%
"144766- ישיבת בנ""ע נר תמיד חשמונאים",מטה בנימין,ממלכתי דתי,ירושלים,יהודי,תמר אודס,איתמר ליברמן,ז,1,רגיל,27,1,27,100%,2,7%,1,4%
148056- תיכון בית צפאפא,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,ז,4,רגיל,32,1,30,94%,28,88%,28,88%
148056- תיכון בית צפאפא,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,ז,3,רגיל,34,1,25,74%,22,65%,22,65%
148056- תיכון בית צפאפא,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,ז,6,רגיל,24,1,11,46%,9,38%,9,38%
148056- תיכון בית צפאפא,ירושלים,ממלכתי,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,ז,5,רגיל,26,1,10,38%,9,35%,9,35%
148080- מקיף אבו גוש,אבו גוש,ממלכתי,ירושלים,ערבי,ציפי יעקב,ווגיהה איברהים,ז,3,רגיל,29,1,29,100%,29,100%,29,100%
148080- מקיף אבו גוש,אבו גוש,ממלכתי,ירושלים,ערבי,ציפי יעקב,ווגיהה איברהים,ז,2,רגיל,23,1,23,100%,19,83%,18,78%
148080- מקיף אבו גוש,אבו גוש,ממלכתי,ירושלים,ערבי,ציפי יעקב,ווגיהה איברהים,ז,1,רגיל,20,1,20,100%,12,60%,12,60%
148155- תיכון שועפט,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,ז,2,רגיל,34,1,34,100%,34,100%,34,100%
148155- תיכון שועפט,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,ז,4,רגיל,34,1,34,100%,34,100%,33,97%
148155- תיכון שועפט,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,ז,3,רגיל,33,1,33,100%,33,100%,33,100%
148155- תיכון שועפט,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,ז,6,רגיל,32,1,32,100%,32,100%,30,94%
148155- תיכון שועפט,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,ז,5,רגיל,27,1,27,100%,27,100%,25,93%
148155- תיכון שועפט,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,ז,1,רגיל,32,1,32,100%,31,97%,31,97%
148197- מקיף בית חנינה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מגדי עוויסאת,ז,1,רגיל,29,1,28,97%,24,83%,22,76%
148197- מקיף בית חנינה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מגדי עוויסאת,ז,4,רגיל,32,1,32,100%,20,63%,20,63%
148197- מקיף בית חנינה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מגדי עוויסאת,ז,2,רגיל,25,1,25,100%,12,48%,8,32%
148197- מקיף בית חנינה,ירושלים,ממלכתי,העיר ירושלים,ערבי,ענאן קאסם,מגדי עוויסאת,ז,3,רגיל,30,1,29,97%,11,37%,8,27%
